file,lines,characters,keywords_found,preview,topic
Seerah of Prophet Muhammed 38 - The Battle of Badr 3 - Yasir Qadhi ｜ 24th October 2012.txt,1942,116775,"ayah, battle, hadith, muslim, prophet, surah, tafsir","[00:00:00] In the name of Allah, the most Gracious, the most Merciful.
 [00:00:22] Last Wednesday we had talked about the beginnings of the Battle of Badr, and the fact that the Prophet ﷺ had to verify from the Ansar whether they were willing to fight with the Prophet ﷺ or not.
 [00:00:41] As we said that the Ansar, the leader of them Sa'd ibn Mu'adh, he stood up, he gave a beautiful speech, and he committed to whatever the Prophet ﷺ wanted them to do.
 [00:00:53] Now when the Prophet ﷺ saw these enthusiasms coming from the Sahaba, he began the preparations for the war.
 [00:01:00] And now that the Ansar had committed, so he could use their manpower if you like.
 [00:01:06] And so he divided up the group or the army into three flanks if you like.
 [00:01:11] And he gave the primary flag, the flag bearer, and that flag was white in color.
 [00:01:16] And by the way the Prophet ﷺ had different flags in every battle, so he didn't have one standard flag.
 [00:01:22] Rather it just so happened whatever was convenient at the time, it appears that he didn't have the standard flag.
 [00:01:27] Sometimes he had white, sometimes he had black, and sometimes he had other colors as well.",Tafsir / Quran
Seerah of Prophet Muhammed 28 - Lessons from Hijrah Blessings of Madinah - Yasir Qadhi ｜ March 2012.txt,1581,90256,"battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] So we had been talking about the actual journey of the Hijra and we had mentioned the story,
 [00:00:22] the miraculous, the amazing story of Surah Ibn Malik, which is one of those stories that
 [00:00:27] is really an iman lift, an iman boosting story, how this Bedouin from the Banu Mudlaj is told
 [00:00:33] that he's going to be wearing the bracelets of Kisra, the bracelets of the emperor of
 [00:00:38] Persia and that is exactly what happened.
 [00:00:41] The story of the Hijra has a number of small stories and one of the significant ones is
 [00:00:47] the story of Umm Ma'bad, small still paragraph about the story of Umm Ma'bad.
 [00:00:52] And the story of Umm Ma'bad is narrated from her directly and she converted to Islam at
 [00:00:58] the end.
 [00:00:59] Umm Ma'bad narrates the story herself and she says that she is an elderly lady and she",Tafsir / Quran
Seerah of Prophet Muhammed 9 - Marriage to Khadija & Re-building Kaa_ba - Yasir Qadhi ｜ Sept 2011.txt,1366,86863,"bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] In our last week's halaqah we had discussed some of the stories of the Prophet Muhammad
 [00:00:16] sallallahu alayhi wa sallam, some of the final stories that we have before he became a Prophet.
 [00:00:22] And there are two incidents that we have left that we are going to discuss today of the
 [00:00:27] pre-prophethood stories and then we are done with all of the narrations of the pre-prophethood
 [00:00:31] stories.
 [00:00:32] And the fact of the matter as I have said many many times is that we do not have most
 [00:00:37] of the reports of the Prophet sallallahu alayhi wa sallam s early life.
 [00:00:40] We have probably a dozen or so particular incidents and that's about it for 40 years
 [00:00:44] of his early life.
 [00:00:47] And there are two incidents left that we need to discuss before the coming of the Prophet",Tafsir / Quran
Seerah of Prophet Muhammed 30 - The Beginning of the Madani Era - Yasir Qadhi ｜ April 2012.txt,1451,92760,"battle, bukhari, hadith, khilafah, muslim, prophet, surah, tafsir","[00:00:00] In the last lecture that we had about tafsirah, we had discussed the demographics of Madinah
 [00:00:22] and we had just started talking about roughly the population of each of these demographics.
 [00:00:27] Remember we said that there's three main groups of Madinah.
 [00:00:29] Number one is the ansar, number two are the muhajirun, number three are the yahood.
 [00:00:34] These are the three main groups of Madinah.
 [00:00:36] We talked about where the yahood came from, the theories about where the yahood came from.
 [00:00:39] Roughly, how many people are we talking about here?
 [00:00:43] We know that each of the three yahoodi tribes had around 700 men.
 [00:00:49] Each of the three tribes, the Banu Nadhi, the Banu Qaynuqa, and the Banu Qaridh had around 700 men roughly.
 [00:00:55] So this means that roughly the three Jewish tribes had 2000 men and on average,",Tafsir / Quran
Seerah of Prophet Muhammed 26 - The Early Emigration to Madinah - Yasir Qadhi ｜ March 2012.txt,1462,98679,"battle, bukhari, hadith, muslim, prophet","[00:00:00] We will be resuming from where we left off two weeks ago.
 [00:00:22] We had a break last week because of the weather conditions.
 [00:00:25] If you remember, two weeks ago we had begun to discuss the preparations for the Hijra.
 [00:00:30] We were talking about the two types of bay'as, the two types of covenants that took place
 [00:00:37] with the people of Madinah.
 [00:00:39] The first covenant and the second covenant, Al-Bay'at Al-Aqaba Al-Ula and Al-Bay'at Al-Aqaba
 [00:00:43] Al-Thaniya.
 [00:00:44] And remember that the second covenant, it took place in the twelfth year of the Prophethood.
 [00:00:49] And the main difference between the first and the second covenant, who can remind me?
 [00:00:53] What was the difference between the first and the second covenant?",Hadith / Sunnah
Seerah of Prophet Muhammed 29 - Introduction to the Madani Phase - Yasir Qadhi ｜ March 2012.txt,947,56369,"muslim, prophet, surah","[00:00:00] So last Wednesday we had talked about the blessings of Medina or the city of Yathrib
 [00:00:23] and the fada'il, the ahadeeth, the specialities that Allah Azza wa Jal and the Prophet ﷺ
 [00:00:30] have mentioned about the city of Medina.
 [00:00:33] Today we're going to continue on and talk about the demographics of Medina.
 [00:00:40] Who lived there and can we have any population estimate?
 [00:00:43] The demographics of Medina.
 [00:00:46] We all know that there were two major ethnic groups living in Medina.
 [00:00:51] The Jewish tribes and the Arab tribes.
 [00:00:53] So the first question we need to ask ourselves, where did these Jews come from?
 [00:00:58] What are they doing in the middle of the Arabian Peninsula?",Tafsir / Quran
Seerah of Prophet Muhammed 34 - Change of the Qiblah & Abrogation in Qur_an - Yasir Qadhi ｜ May 2012.txt,1723,93661,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] In our last halaqah we had discussed the establishment of the treaty of the people of Medina, we called
 [00:00:20] it the early constitution, and we pointed out that it was a very forward thinking document.
 [00:00:27] There was nothing similar to it, frankly there was nothing similar to it in the entire world
 [00:00:31] at the time, where the Prophet ﷺ gave each of the religious groups semi-independence,
 [00:00:38] and he then put some bonds between them that were more political in nature.
 [00:00:43] And this shows us that from the Islamic perspective the bonds of the ummah and the bonds of a
 [00:00:48] religion are stronger than the bonds of the nation state or the bonds of ethnicity.
 [00:00:54] And this is a philosophical tangent which we don't have time to get into now, I've
 [00:00:58] spoken about this at length in other places.
 [00:01:01] The modern world is divided into nation states, and the modern world we are told to view each",Tafsir / Quran
Seerah of Prophet Muhammed 3 - Why study the Seerah？ & Pre-Islamic Arabia - Yasir Qadhi ｜ May 2011.txt,1689,86541,"battle, bukhari, hadith, muslim, prophet, surah, translation, urdu","[00:00:00] We are
 [00:00:29] still doing our introductory lectures before actually jumping into the life and times
 [00:00:34] of the Prophet ﷺ.
 [00:00:36] And all of these introductory lectures is background information and motivation for
 [00:00:40] why we should be studying the Seerah.
 [00:00:42] So today, insha'Allah ta'ala, we will begin about discussing what exactly is the Seerah
 [00:00:47] and why should we study the Seerah and we'll try to mention something about pre-Islamic
 [00:00:52] Arabia.
 [00:00:53] So we're going to set the stage and we're going to continue next week and the week after
 [00:00:57] setting the stage for the coming of the Prophet ﷺ.",Tafsir / Quran
Seerah of Prophet Muhammed 45 - Summary of Meccan period - Yasir Qadhi ｜ 9th January 2013.txt,1762,96379,"battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] So as we had discussed before, today, inshallah, will be a summary of the entire Meccan Seerah.
 [00:00:27] So we're going to begin from the beginning and then work our way to the Hijra so that
 [00:00:31] we're catching up, inshallah, after this break.
 [00:00:33] It's also a new year for our academic studies, as you know, it's 2013.
 [00:00:38] So we need to catch up to summarize all that we have done before we move on.
 [00:00:43] So let us begin from the very beginning.
 [00:00:45] And the very beginning, we go back to the days of Jahiliyyah, we go back to the days
 [00:00:49] of pre-Islam.
 [00:00:51] The Arabian Peninsula was occupied by a number of people.
 [00:00:56] And we can divide them into three simple categories.",Tafsir / Quran
Seerah of Prophet Muhammed 4 - Religious status of the world before Islam - Yasir Qadhi ｜ June 2011.txt,1580,92236,"battle, bukhari, hadith, muslim, prophet, urdu","[00:00:00] We will continue from where we had left off talking about the Seerah of the Prophet ﷺ,
 [00:00:27] and we are still talking about the situation of Arabia before the coming of the Prophet ﷺ.
 [00:00:33] And in today's lecture, insha'Allah we're going to shed some light upon the religious status of the Arabs,
 [00:00:42] the religious status of the Arabs before the advent of the Prophet ﷺ, and in fact the religious status of the world.
 [00:00:49] And the reason why we need to illustrate this, the reason why we need to talk about what people believed before the coming of the Prophet ﷺ
 [00:00:56] is to appreciate the blessings that the Prophet ﷺ came with.
 [00:01:00] When we understand pre-Islam, we will appreciate Islam.
 [00:01:05] Just like we understand opposites, when we understand black, we understand white,
 [00:01:09] when we understand night, we understand day.
 [00:01:11] We always look at opposites to appreciate each thing. We contrast.",Hadith / Sunnah
Seerah of Prophet Muhammed 20 - Incident of Ta_if - Yasir Qadhi ｜ January 2012.txt,1054,85171,"battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] In our last week's seerah, we had talked about the fact that our Prophet ﷺ had suffered
 [00:00:26] the most emotional distresses. In fact, it was the most traumatic grief in his life,
 [00:00:31] the two deaths of his uncle Abu Talib and then his wife Khadija, the external and the
 [00:00:36] internal support of the Prophet ﷺ. We also mentioned that initially Abu Lahab gave him
 [00:00:43] protection for a few days or a few weeks. Abu Lahab gave him protection and then Abu
 [00:00:48] Jahl and others basically tricked him to make him understand that the Prophet ﷺ did not
 [00:00:53] respect Abdul Muntalib the way that Abu Lahab thought he should respect him. And that he assumed
 [00:00:59] that Abu that Abdul Muntalib would be going to the fire of hell. And so Abu Lahab withdrew
 [00:01:04] his protection. Abu Lahab withdrew his protection and he took back the promise that he had given
 [00:01:10] the Prophet ﷺ. And therefore, when all of these circumstances combined, life in Mecca became",Tafsir / Quran
Seerah of Prophet Muhammed 18 - Conversion of Omar & Hamza and Boycott - Yasir Qadhi ｜ December 2011.txt,910,78741,"battle, bukhari, khilafah, muslim, prophet, surah","[00:00:00] So last Wednesday we had done the issue of the story of the Muslims in Abyssinia and we
 [00:00:25] had concluded that the Prophet ﷺ had told them the very day that Negus died, the very
 [00:00:31] hour that he died.
 [00:00:32] He told them that he had died and the Prophet ﷺ prayed Salatul Janaza over the Najashi.
 [00:00:38] And this was the only time in the whole seerah that the Prophet ﷺ prayed Salatul Janaza
 [00:00:43] ala al-Ghaib.
 [00:00:44] And we said there's some fiqh issues then derived from this.
 [00:00:46] What should we do if somebody dies who's famous?
 [00:00:49] Should we pray Salatul Janaza over somewhere else?
 [00:00:51] Or is it only the one who has not been prayed over, does somebody else pray over them?",Tafsir / Quran
Seerah of Prophet Muhammed 25 - The Covenant of Women & War protection - Yasir Qadhi ｜ February 2012.txt,1219,70126,"battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] Last Wednesday we were talking about the preparation of the Hijra.
 [00:00:29] We had mentioned that the Prophet ﷺ had passed by a group from Yathrib and he asked,
 [00:00:37] who are you?
 [00:00:38] Small group, he didn't recognize them.
 [00:00:39] And they said, we are from the Khazraj.
 [00:00:42] And he didn't recognize which Khazraj because it's not one of the big tribes.
 [00:00:45] He sat with them, he gave them da'wah and they converted and some of them thought of
 [00:00:51] converting but the point was there was an openness and they said, let us think about
 [00:00:56] this affair and we'll come back the following year.
 [00:00:59] So this is not a formal conversion of all six.",Tafsir / Quran
Seerah of Prophet Muhammed 17 - The second migration to Abyssinia - Yasir Qadhi ｜ November 2011.txt,1509,97393,"battle, bukhari, hadith, muslim, prophet, surah, translation","[00:00:00] In our last week's halaqah we had discussed the infamous incident of the satanic verses
 [00:00:24] and we had mentioned the number of opinions and Allah u'alam but it appears that there was no such story
 [00:00:31] and the fact of the matter is that the Quraysh prostrated simply because of the power of surah an-Najm
 [00:00:38] and this rumor as we said led to the Muslims to return back from Abyssinia
 [00:00:44] and when they came back they discovered that this rumor was false.
 [00:00:48] Now, number of points here before we get back to the actual story.
 [00:00:53] The question arises about the number of people who immigrated the first time to Abyssinia
 [00:00:58] and who was and who was not a part of that initial batch.
 [00:01:01] Now we're not going to go over all of the opinions, it's a little bit too advanced
 [00:01:04] but the main point is that from the immediate sahaba of the Prophet ﷺ,",Tafsir / Quran
Seerah of Prophet Muhammed 6 - The Birth of Prophet Muhammed & Why Arabia？ - Yasir Qadhi ｜ June 2011.txt,1491,86223,"hadith, muslim, prophet, surah","[00:00:00] And we had mentioned the idolatry that was rampant amongst them and how that idolatry began.
 [00:00:06] And there was one final point that was left that time did not allow us to elaborate on.
 [00:00:11] And I think it is very relevant and very important because
 [00:00:14] this aspect demonstrates to us what our religion is.
 [00:00:18] And it demonstrates to us the meaning of La ilaha illallah.
 [00:00:22] Now the interesting thing about the Jahili Arabs, the Arabs before Islam,
 [00:00:27] was that they actually believed in the same God that we believe in,
 [00:00:31] by the same name and the same attributes and that is Allah.
 [00:00:35] You see they never depicted Allah as an idol.
 [00:00:39] They made idols of Allah, of Al-Uzza, of Manat, of Hubal.",Tafsir / Quran
Seerah of Prophet Muhammed 39 - The Battle of Badr 4 - Yasir Qadhi ｜ 31st October 2012.txt,1591,102099,"battle, bukhari, hadith, khilafah, muslim, prophet, surah","[00:00:00] So we're today, inshallah, going to discuss the topic of the
 [00:00:27] battle of Badr or the incidents that we have narrated about the battle of Badr.
 [00:00:32] And in our last few lessons we had mentioned the precursors to the battle of Badr,
 [00:00:37] the armies lining up, the Prophet ﷺ making dua, the issue of Khawf and Raja' between
 [00:00:42] Abu Bakr and the Prophet ﷺ, all of this has been mentioned.
 [00:00:45] Now, the problem comes with the actual battle is that you cannot describe a battle between
 [00:00:52] hundreds of people except with specific stories between individuals.
 [00:00:56] It's not possible to describe an entire battle.
 [00:00:59] These are the old style battle where you're one on one.
 [00:01:02] So what we have is a series of small incidents.",Tafsir / Quran
Seerah of Prophet Muhammed 24 - Planting the seeds for Yathrib - Yasir Qadhi ｜ February 2012.txt,1511,83159,"ayah, battle, bukhari, hadith, muslim, prophet, surah","[00:00:00] So we spent around three weeks talking about the Isra and Mi'raj of the Prophet ﷺ, and
 [00:00:24] we went over the benefits and the details of Al-Isra.
 [00:00:27] And just as the Prophet ﷺ returned to Mecca and life resumed, so too we also need to return
 [00:00:32] back to Mecca and resume with the Isra from where we left it off.
 [00:00:35] Now remember we had talked about the death of Abu Talib and the fact that the protection
 [00:00:43] that the Prophet ﷺ enjoyed being from the Banu Hashim, initially Abu Lahab felt obligated
 [00:00:50] to give him the protection and then within a week or two he rescinded it, cancelled it,
 [00:00:55] and so who can tell me who took over the protection?
 [00:00:58] Who can tell me how was the process of living in Mecca?
 [00:01:01] Yes.",Tafsir / Quran
Seerah of Prophet Muhammed 15 - Torture to the Prophet & Abyssinia - Yasir Qadhi ｜ November 2011.txt,1181,80733,"battle, bukhari, hadith, khilafah, muslim, prophet, surah","[00:00:00] In our short class last Wednesday, we mentioned some of the tortures and some of the trials
 [00:00:27] that the Sahaba had to undergo in the early Meccan phase.
 [00:00:32] And today insha'Allah we will continue from where we left off.
 [00:00:36] In our last class we mentioned the tortures of Bilal, Ammar, Yasir, Sumayyah, Khabbab
 [00:00:42] ibn al-Arad and many of the other Sahaba, especially the Sahaba who were not from the
 [00:00:48] Quraysh, from the Mawali, from the slave class, because of course those Sahaba were not protected
 [00:00:54] by the society of Mecca.
 [00:00:57] Now the question arises what happened with the Prophet ﷺ himself?
 [00:01:00] Did he undergo any physical torture, any physical pain and suffering?
 [00:01:06] There's no question that he underwent a lot of emotional, a lot of smear campaigns.",Tafsir / Quran
Seerah of Prophet Muhammed 10 - Zayd b. Harithah & Beginning of Revelation - Yasir Qadhi ｜ Sept 2011.txt,1424,99268,"battle, bukhari, hadith, muslim, prophet, surah, tafsir","[00:00:00] Last week we were just finishing up the concept or the story of the rebuilding of the Ka'bah
 [00:00:28] and there are some very profound symbolisms in this that we were not able to finish
 [00:00:33] and so we do need to start from where we left off
 [00:00:36] and that is we had just mentioned the tangent about the story of the black stone
 [00:00:41] and that it had become fragmented and that the Sahaba, or not the Sahaba, excuse me
 [00:00:45] the Abbasids had to put it back in molten rock and molten metal
 [00:00:51] and then the actual black stone is actually in pieces now, it's not the original stone
 [00:00:56] Now, some of the symbolisms that we learned from the rebuilding of the Ka'bah
 [00:01:01] there is clearly the metaphor being given that the Ka'bah has been destroyed before the coming of the Prophet ﷺ
 [00:01:09] and the Ka'bah is being rebuilt right at his time",Tafsir / Quran
Seerah of Prophet Muhammed 16 - The Incident of the Satanic Verses - Yasir Qadhi ｜ November 2011.txt,1709,76633,"ayah, battle, bukhari, hadith, muslim, prophet, surah, tafsir, translation","[00:00:00] In our last week's halaqah, we had begun to discuss the famous incident of the immigration
 [00:00:27] of the Muslims to Abyssinia. And we had mentioned that in the fifth year of the da'wah, in the
 [00:00:33] month of Rajab, the Prophet ﷺ had allowed the Muslims to immigrate to Abyssinia. And
 [00:00:40] we had mentioned that the reason why Abyssinia was chosen is because they had the freedom
 [00:00:45] to worship Allah subhanahu wa ta'ala, and we derived a number of benefits and important
 [00:00:52] morals that we can derive. And especially for us here in America, there's a lot of wisdom
 [00:00:56] and benefit with that parallel of living as a minority in a non-Muslim land.
 [00:01:02] Now shortly after the immigration to Abyssinia, the Muslims returned back to Mecca. In fact,
 [00:01:11] so much so that it is narrated that they came back within three months, the month of Shawwal.
 [00:01:18] So they immigrated in the month of Rajab. It takes around four or five days to get there.",Tafsir / Quran
Seerah of Prophet Muhammed 22 - Night Journey & Ascension to Heavens 2 - Yasir Qadhi ｜ February 2012.txt,1596,91902,"ayah, battle, bukhari, hadith, muslim, prophet, surah, translation, urdu","[00:00:00] We're going to continue from where we left off.
 [00:00:24] We were talking about the miraculous journey of the Prophet ﷺ, the Isra and the Mi'raj.
 [00:00:32] And we had just finished the Prophet ﷺ rising up through the seven heavens.
 [00:00:37] And I think we had also explained that the heavens are not the same as the Jannat.
 [00:00:42] The Samawat and the Jannat are two separate entities.
 [00:00:46] And most likely the Jannat occupy the seventh heaven.
 [00:00:51] And we mentioned the wisdom of why the Prophet ﷺ met certain prophets at each one of these levels.
 [00:00:58] Now, as we said, one of the biggest problems of Al-Isra and the Mi'raj is to piece together the narrative.
 [00:01:04] There are specific ahadith. We don't know when they occurred.
 [00:01:07] So to put a chronology, to put an A to Z, a picture, is very difficult to do.",Tafsir / Quran
Seerah of Prophet Muhammed 21 - Night Journey & Ascension to Heavens 1 - Yasir Qadhi ｜ January 2012.txt,1640,96951,"ayah, bukhari, hadith, muslim, prophet, surah","[00:00:00] Before we begin, do the sisters want the lights on or off?
 [00:00:20] How do you like it?
 [00:00:24] On or off?
 [00:00:26] Off.
 [00:00:28] Okay.
 [00:00:29] Some people want it on.
 [00:00:33] Okay.
 [00:00:34] InshaAllah.
 [00:00:35] Okay.
 [00:00:36] InshaAllah.",Tafsir / Quran
